Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-10deg1-8deg2_9	1000	10	COL1A1;DKK2	0.744514	0.061129	0.703874	0.003892	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-10deg1-8deg2_14	10000	100	HOXA3;FRAT1;NLGN1	0.744514	0.061129	0.741046	0.009095	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-12deg1-0deg2_19	10000	10000	RPL10A	0.744514	0.061129	7.248008	1.410460	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-12deg1-0deg2_21	100000	100000	RPL10A;HNF4A;AGER	0.744514	0.046631	2.864134	1.785438	0.744514	0.046631	0.900000	0.100000	0.073630	0.075611	9.41100149173264e-17
30deg0-12deg1-4deg2_9	1000	10	DLG2;KIF13B	0.744514	0.061129	0.704996	0.004340	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-14deg1-4deg2_16	1000	1000	TAS2R16;MSX2;PTGES3	0.744514	0.061129	0.703843	0.003875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-16deg1-0deg2_10	10000	10	SCN5A;MYL1	0.744514	0.061129	1.447857	0.267167	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-16deg1-2deg2_16	1000	1000	PTGES3;CD3EAP	0.744514	0.061129	0.703843	0.003875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-16deg1-4deg2_9	1000	10	PRMT1;VEGFC	0.744514	0.061129	0.715431	0.008374	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-16deg1-4deg2_16	1000	1000	ERCC2;NMT2;ITIH4	0.744514	0.061129	0.747235	0.025875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-16deg1-4deg2_18	100000	1000	ERCC2;KATNA1;ALX1	0.744514	0.061129	0.924825	0.039907	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-18deg1-2deg2_9	1000	10	PTGES3;CALCOCO1	0.744514	0.061129	0.703843	0.003875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-18deg1-6deg2_4	1000	1	CMKLR1;ATP1B3	0.744514	0.061129	0.703843	0.003875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-18deg1-8deg2_9	1000	10	SETD4;FXYD1	0.744514	0.061129	0.750195	0.016894	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-4deg1-6deg2_17	10000	1000	HNF4A	0.744514	0.061129	0.712319	0.005625	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-6deg1-0deg2_16	1000	1000	ERCC2;ATP5B	0.744514	0.061129	0.703843	0.003875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-6deg1-4deg2_20	100000	10000	SV2A;SYNPO	0.744514	0.061129	0.739738	0.011780	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-8deg1-0deg2_9	1000	10	BIRC3;RPL10A	0.744514	0.061129	0.703843	0.003875	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-8deg1-6deg2_4	1000	1	MYH8;LCN2	0.744514	0.061129	0.721021	0.010734	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-8deg1-6deg2_9	1000	10	MYH8;NPTX2	0.744514	0.061129	0.717265	0.008921	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-12deg1-2deg2_8	100	10	ISG20;ACTN1	0.316614	0.081505	0.667857	0.014939	0.316614	0.081505	0.200000	0.800000	0.133333	0.133333	8.46990134255937e-17
30deg0-14deg1-10deg2_12	100	100	SLC5A4;LALBA;SRGAP3	0.316614	0.081505	0.673964	0.011077	0.316614	0.081505	0.200000	0.800000	0.133333	0.133333	8.46990134255937e-17
30deg0-18deg1-4deg2_13	1000	100	TAC1;PRKCA;DDR2	0.316614	0.081505	0.673988	0.007831	0.316614	0.081505	0.200000	0.800000	0.133333	0.133333	8.46990134255937e-17
30deg0-18deg1-4deg2_14	10000	100	TRIP10;C1QA;GRIK3	0.316614	0.081505	0.665546	0.014522	0.316614	0.081505	0.200000	0.800000	0.133333	0.133333	8.46990134255937e-17
30deg0-10deg1-2deg2_13	1000	100	PADI3;SGK1	0.255486	0.061129	0.661907	0.007756	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-12deg1-0deg2_4	1000	1	MRTO4;AGER	0.255486	0.061129	0.643734	0.007939	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-12deg1-4deg2_1	1	1	CMKLR1	0.255486	0.061129	0.629919	0.018620	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-12deg1-4deg2_2	10	1	CMKLR1	0.255486	0.061129	0.595418	0.023028	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-12deg1-4deg2_4	1000	1	HNF4A;LAMA5	0.255486	0.061129	0.643734	0.007939	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-16deg1-4deg2_14	10000	100	ERCC2;KATNA1;F13A1	0.255486	0.061129	0.696698	0.003554	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-18deg1-8deg2_10	10000	10	PRKCA;ITGB7	0.255486	0.061129	0.683345	0.005601	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-2deg1-2deg2_9	1000	10	PRLR;KIF13B	0.255486	0.061129	0.670728	0.009064	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-6deg1-2deg2_14	10000	100	ATP5B;RCVRN;PRKCA;DLG2	0.255486	0.061129	0.640741	0.011754	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-6deg1-4deg2_13	1000	100	SV2A;ZNF668	0.255486	0.061129	0.632233	0.017219	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-6deg1-6deg2_7	10	10	RREB1;PPA2;TRIP10	0.255486	0.061129	0.625619	0.020397	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-6deg1-6deg2_15	100000	100	ELN;AFF3	0.255486	0.061129	0.690220	0.005843	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-8deg1-2deg2_14	10000	100	ELK3;LAMB3	0.255486	0.061129	0.668010	0.007023	0.255486	0.061129	0.100000	0.900000	0.100000	0.100000	7.52880119338611e-17
30deg0-10deg1-4deg2_12	100	100	TRIP10	0.683386	0.081505	0.707703	0.006579	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-10deg1-8deg2_7	10	10	FRAT1;NLGN1;XBP1	0.683386	0.081505	0.722448	0.005127	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-10deg1-8deg2_16	1000	1000	FRAT1;CD40	0.683386	0.081505	0.718362	0.009042	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-12deg1-0deg2_9	1000	10	RPL10A;PRMT1	0.683386	0.081505	0.703290	0.005891	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-16deg1-4deg2_4	1000	1	VAMP5;SGCA;ALX1	0.683386	0.081505	0.871283	0.103702	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-18deg1-4deg2_9	1000	10	MSC;CALCOCO1	0.683386	0.081505	0.703763	0.013927	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-20deg1-4deg2_15	100000	100	MSC;ZMYND10	0.683386	0.081505	0.703763	0.013927	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-8deg1-0deg2_11	100000	10	PRKCA;ITGBL1	0.683386	0.081505	0.694428	0.006660	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-8deg1-10deg2_17	10000	1000	TBC1D9;E2F5	0.683386	0.081505	0.725745	0.012968	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-8deg1-2deg2_19	10000	10000	ELK3	0.683386	0.081505	0.704236	0.010901	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-8deg1-6deg2_15	100000	100	MT1H;FBN1	0.683386	0.081505	0.707352	0.017107	0.683386	0.081505	0.800000	0.200000	0.133333	0.133333	5.64660089503958e-17
30deg0-8deg1-6deg2_19	10000	10000	MT1H;CTGF	0.683386	0.070574	0.745444	0.011697	0.683386	0.070574	0.800000	0.200000	0.120344	0.116615	5.64660089503958e-17
30deg0-16deg1-10deg2_8	100	10	NHLH1;E2F5;TRIM32	0.622257	0.093375	0.698266	0.012727	0.622257	0.093375	0.700000	0.300000	0.152753	0.152753	-4.92875733728082e-17
30deg0-16deg1-4deg2_13	1000	100	ERCC2;KATNA1;ALX1	0.622257	0.093375	0.707224	0.007264	0.622257	0.093375	0.700000	0.300000	0.152753	0.152753	-4.92875733728082e-17
30deg0-16deg1-4deg2_19	10000	10000	ERCC2;NMT2;ITIH4	0.622257	0.093375	0.808347	0.058945	0.622257	0.093375	0.700000	0.300000	0.152753	0.152753	-4.92875733728082e-17
30deg0-16deg1-4deg2_20	100000	10000	ERCC2;NMT2;ITIH4	0.622257	0.093375	0.708419	0.024273	0.622257	0.093375	0.700000	0.300000	0.152753	0.152753	-4.92875733728082e-17
30deg0-4deg1-4deg2_18	100000	1000	ZNF668	0.622257	0.093375	0.693231	0.006582	0.622257	0.093375	0.700000	0.300000	0.152753	0.152753	-4.92875733728082e-17
30deg0-6deg1-2deg2_10	10000	10	CBR1;GRIK3	0.622257	0.093375	0.698880	0.006810	0.622257	0.093375	0.700000	0.300000	0.152753	0.152753	-4.92875733728082e-17
30deg0-10deg1-0deg2_5	10000	1	DDR2;PRKCB	0.438871	0.099822	0.704380	0.005018	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-12deg1-0deg2_16	1000	1000	RPL10A;MYL1;F13A1;LAMB3	0.438871	0.099822	0.689770	0.008962	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-12deg1-0deg2_20	100000	10000	RPL10A;MYL1;F13A1;LAMB3	0.438871	0.099822	0.689773	0.008961	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-12deg1-4deg2_10	10000	10	KIF13B;GADD45B	0.438871	0.099822	0.716458	0.020929	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-14deg1-4deg2_13	1000	100	MRTO4	0.438871	0.099822	0.691325	0.004837	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-16deg1-8deg2_14	10000	100	POU6F1;F11R	0.438871	0.099822	0.708919	0.013633	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-18deg1-2deg2_16	1000	1000	TGM2;IRF1;ATP5B	0.438871	0.099822	0.684206	0.010576	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-20deg1-6deg2_16	1000	1000	DAB2;JPH2	0.438871	0.099822	0.684918	0.008005	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-6deg1-0deg2_12	100	100	ERCC2;ATP5B;ITIH4;PRKCA	0.438871	0.099822	0.672090	0.013322	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-6deg1-0deg2_17	10000	1000	ERCC2;ATP5B;ITIH4;PRKCA	0.438871	0.099822	0.672094	0.013321	0.438871	0.099822	0.400000	0.600000	0.163299	0.163299	-4.61043032466326e-17
30deg0-10deg1-10deg2_8	100	10	ONECUT2;SLC8A1	0.561129	0.099822	0.697863	0.014613	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-10deg1-6deg2_19	10000	10000	PAIP2B;MRTO4;LAMB3	0.561129	0.099822	0.691537	0.019349	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-12deg1-6deg2_16	1000	1000	ZNF668;IL12A	0.561129	0.099822	0.708335	0.019200	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-12deg1-6deg2_19	10000	10000	ZNF668;IL12A	0.561129	0.099822	0.708289	0.019178	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-12deg1-6deg2_20	100000	10000	ZNF668;IL12A	0.561129	0.099822	0.708332	0.019201	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-16deg1-6deg2_21	100000	100000	MRTO4;MME	0.561129	0.099822	0.698138	0.008555	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-20deg1-4deg2_12	100	100	IGF1	0.561129	0.099822	0.691746	0.008510	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-4deg1-4deg2_20	100000	10000	ELK3	0.561129	0.099822	0.698679	0.009907	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-4deg1-6deg2_5	10000	1	MSC;QKI	0.561129	0.099822	0.750428	0.041320	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-6deg1-4deg2_16	1000	1000	SV2A;SYNPO	0.561129	0.099822	0.731666	0.042668	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-8deg1-2deg2_16	1000	1000	ELK3	0.561129	0.099822	0.698681	0.009906	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-8deg1-2deg2_20	100000	10000	ELK3	0.561129	0.099822	0.698679	0.009907	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-8deg1-4deg2_16	1000	1000	ELK3	0.561129	0.099822	0.698681	0.009906	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-8deg1-4deg2_18	100000	1000	TAS2R16	0.561129	0.099822	0.703022	0.006434	0.561129	0.099822	0.600000	0.400000	0.163299	0.163299	-2.30521516233163e-17
30deg0-0deg1-2deg2_1	1	1	PPA2	0.194357	0.000000	0.624365	0.004085	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-0deg1-2deg2_3	100	1	PPA2	0.194357	0.000000	0.592065	0.011557	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-0deg1-2deg2_14	10000	100	CD80;DLG2	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-0deg1-2deg2_17	10000	1000	CD80;DLG2	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-0deg1-2deg2_21	100000	100000	ATP1B3;RCAN2	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-10deg1-0deg2_16	1000	1000	QKI;CALCOCO1	0.194357	0.000000	0.670841	0.011704	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-0deg2_17	10000	1000	HMG20B;ATP5B	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-10deg2_14	10000	100	QPCTL;IRAK3	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-2deg2_14	10000	100	OPCML;PPA2	0.194357	0.000000	0.620045	0.006382	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-4deg2_4	1000	1	PLXNC1	0.194357	0.000000	0.676728	0.150651	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-4deg2_10	10000	10	FLI1;TRIP10	0.194357	0.000000	0.618911	0.006422	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-6deg2_5	10000	1	LAMB3;IL12A;GPR35	0.194357	0.000000	0.605773	0.014472	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-6deg2_6	100000	1	LAMB3;IL12A;GPR35	0.194357	0.000000	0.605771	0.014472	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-6deg2_7	10	10	PDLIM4;TLE1;JPH2;PALM	0.805643	0.000000	0.871482	0.005993	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-10deg1-6deg2_16	1000	1000	PAIP2B;MRTO4;CDH6	0.500000	0.101881	0.701157	0.019106	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-10deg1-6deg2_21	100000	100000	PROCR;ATP5B	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-10deg1-8deg2_1	1	1	PPA2	0.194357	0.000000	0.624365	0.004085	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-8deg2_12	100	100	FRAT1;SYK	0.500000	0.101881	0.688101	0.004048	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-10deg1-8deg2_17	10000	1000	FRAT1;SYK	0.500000	0.101881	0.688098	0.004048	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-10deg1-8deg2_19	10000	10000	FRAT1;CD40	0.194357	0.000000	0.638423	0.008837	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-10deg1-8deg2_20	100000	10000	FRAT1;CD40	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-10deg1-8deg2_21	100000	100000	FRAT1;C1QA;ADAM28	0.805643	0.000000	0.984407	0.076981	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-12deg1-0deg2_2	10	1	CALCOCO1	0.805643	0.000000	0.851409	0.012880	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-12deg1-0deg2_3	100	1	CALCOCO1	0.805643	0.000000	0.734825	0.007217	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-12deg1-0deg2_12	100	100	RPL10A;HNF4A	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-12deg1-0deg2_17	10000	1000	RPL10A;HNF4A	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-12deg1-2deg2_14	10000	100	LAMA5;IGF1;CALCOCO1	0.194357	0.000000	0.621305	0.006269	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-12deg1-4deg2_8	100	10	SYK;GADD45B	0.805643	0.000000	0.718391	0.002784	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-12deg1-6deg2_5	10000	1	POU6F1;ALX1;ROBO4	0.194357	0.000000	0.520780	0.008380	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-12deg1-6deg2_6	100000	1	TAS2R8;PHF20	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-12deg1-6deg2_10	10000	10	WIPF1;PLXNC1	0.194357	0.000000	0.687013	0.000458	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-12deg1-6deg2_14	10000	100	ZNF668;C1QA	0.194357	0.000000	0.654107	0.003620	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-12deg1-6deg2_15	100000	100	RFX4;PRPH2;IGF1;CTGF;FABP6	0.194357	0.000000	0.575467	0.011651	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-14deg1-0deg2_5	10000	1	C1QA;MRPS12;BMP2K	0.805643	0.000000	0.820175	0.008561	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-14deg1-0deg2_15	100000	100	PRKCA;TGFBI	0.805643	0.000000	0.825117	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-14deg1-10deg2_7	10	10	PTGES3;DKK2;TNFRSF10D	0.805643	0.000000	0.743230	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-14deg1-10deg2_16	1000	1000	KLK2;C1QA	0.805643	0.000000	0.715971	0.002420	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-14deg1-10deg2_17	10000	1000	SLC5A4;LALBA;SRGAP3	0.194357	0.000000	0.606486	0.011198	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-14deg1-2deg2_1	1	1	DAB2;CPB2	0.805643	0.000000	0.743230	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-14deg1-2deg2_6	100000	1	POU6F1;VEGFC;ITGB7	0.194357	0.000000	0.607844	0.015980	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-14deg1-2deg2_14	10000	100	GADD45G;GABBR2;PDIA3	0.805643	0.000000	0.805633	0.021665	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-14deg1-4deg2_8	100	10	NMT2;PPA2	0.194357	0.000000	0.608438	0.000000	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-14deg1-4deg2_19	10000	10000	TAS2R16;MSX2;PTGES3	0.194357	0.000000	0.607705	0.007233	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-14deg1-6deg2_13	1000	100	ADRA2A;FMO4;TLE1;BMP2K	0.194357	0.000000	0.560524	0.016842	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-14deg1-8deg2_10	10000	10	HMOX1;CPB2	0.194357	0.000000	0.610106	0.015443	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-16deg1-0deg2_9	1000	10	KATNA1;BMP2K	0.500000	0.101881	0.682589	0.008855	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-16deg1-10deg2_5	10000	1	CCDC85B;NAGK	0.194357	0.000000	0.592242	0.010412	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-16deg1-10deg2_7	10	10	HMGA1;PDLIM4	0.805643	0.000000	0.743230	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-10deg2_15	100000	100	HMGA1;NGF;PDGFC	0.805643	0.000000	1.252375	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-10deg2_17	10000	1000	HMGA1;DLGAP1	0.194357	0.000000	0.622273	0.006190	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-16deg1-2deg2_5	10000	1	SYK;PDIA3	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-16deg1-2deg2_6	100000	1	SYK;PDIA3	0.805643	0.000000	0.693147	0.000000	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-2deg2_9	1000	10	LAMB3;CALCOCO1	0.500000	0.101881	0.666565	0.014257	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-16deg1-2deg2_10	10000	10	CD40	0.805643	0.000000	2.785383	0.388228	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-2deg2_11	100000	10	CD40	0.805643	0.000000	7.752390	0.840788	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-2deg2_19	10000	10000	PTGES3;ERCC2	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-16deg1-2deg2_20	100000	10000	CEACAM1	0.805643	0.000000	0.888937	0.023850	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-8deg2_9	1000	10	VENTX;FBN1;MT1H	0.805643	0.000000	0.810220	0.008280	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-16deg1-8deg2_10	10000	10	ZFP36L2;VEGFC	0.500000	0.101881	0.749476	0.022792	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-16deg1-8deg2_15	100000	100	POU6F1;PPA2;RHOH	0.194357	0.000000	0.669148	0.000036	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-18deg1-0deg2_1	1	1	E2F5;CYP2B6	0.805643	0.000000	0.732757	0.002303	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-18deg1-0deg2_5	10000	1	IRF1;ITGB7	0.194357	0.000000	0.612401	0.011423	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-18deg1-2deg2_4	1000	1	E2F5;OSBPL9	0.805643	0.000000	0.837695	0.000185	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-18deg1-2deg2_20	100000	10000	TGM2;IRF1;ATP5B	0.500000	0.101881	0.683769	0.010602	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
30deg0-18deg1-4deg2_20	100000	10000	PPA2	0.194357	0.000000	1.816937	0.102392	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-18deg1-6deg2_5	10000	1	CMKLR1;ATP1B3	0.194357	0.000000	0.620044	0.006383	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-18deg1-6deg2_9	1000	10	FRAT1;CYP2B6	0.500000	0.065308	2.766784	0.555494	0.500000	0.065308	0.500000	0.500000	0.145161	0.116083	0
30deg0-18deg1-6deg2_13	1000	100	F13A1;GNRH2;IRF1	0.805643	0.000000	1.513254	0.112131	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-18deg1-6deg2_18	100000	1000	F13A1;GNRH2;IRF1	0.805643	0.000000	1.512942	0.112201	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-18deg1-6deg2_19	10000	10000	TLR4;MRTO4	0.194357	0.000000	0.586731	0.009008	0.194357	0.000000	0.000000	1.000000	0.000000	0.000000	0
30deg0-18deg1-8deg2_8	100	10	RBMS2;PI15	0.805643	0.000000	0.723423	0.003313	0.805643	0.000000	1.000000	0.000000	0.000000	0.000000	0
30deg0-18deg1-8deg2_21	100000	100000	PAIP2B;ACTN1;GDNF	0.500000	0.101881	0.701292	0.017798	0.500000	0.101881	0.500000	0.500000	0.166667	0.166667	0
